,S,I,R
2021-02-02,,4718.0,
2021-02-03,,4677.0,
2021-02-04,,4381.0,
2021-02-05,,4134.0,
2021-02-06,,4009.0,
2021-02-07,,3935.0,
2021-02-08,,3922.0,
2021-02-09,,4014.0,
2021-02-10,,4086.0,
2021-02-11,,4033.0,
2021-02-12,,3925.0,
2021-02-13,,3808.0,
2021-02-14,,3709.0,
2021-02-15,,3653.0,
2021-02-16,,3662.0,
2021-02-17,,3840.0,
2021-02-18,,3980.0,
2021-02-19,,4112.0,
2021-02-20,,4196.0,
2021-02-21,,4302.0,
2021-02-22,,4542.0,
2021-02-23,,4881.0,
2021-02-24,,5222.0,
2021-02-25,,5402.0,
2021-02-26,,5449.0,
2021-02-27,,5462.0,
2021-02-28,,5382.0,
2021-03-01,,5426.0,
2021-03-02,,5617.0,
2021-03-03,,5756.0,
2021-03-04,,5725.0,
2021-03-05,,5687.0,
2021-03-06,,5693.0,
2021-03-07,,5646.0,
2021-03-08,,5689.0,
2021-03-09,,6001.0,
2021-03-10,,6226.0,
2021-03-11,,6324.0,
2021-03-12,,6361.0,
2021-03-13,,6347.0,
2021-03-14,,6297.0,
2021-03-15,,6323.0,
2021-03-16,,6637.0,
2021-03-17,,6981.0,
2021-03-18,,7008.0,
2021-03-19,,7059.0,
2021-03-20,,7064.0,
2021-03-21,,7039.0,
2021-03-22,,7158.0,
2021-03-23,,7553.0,
2021-03-24,,7893.0,
2021-03-25,,7972.0,
2021-03-26,,7842.0,
2021-03-27,,7862.0,
2021-03-28,,7822.0,
2021-03-29,,7798.0,
2021-03-30,,8104.0,
2021-03-31,,8247.0,
2021-04-01,,8068.0,
2021-04-02,,7970.0,
2021-04-03,,7735.0,
2021-04-04,,7568.0,
2021-04-05,,7319.0,
2021-04-06,,7320.0,
2021-04-07,,7526.0,
2021-04-08,,7469.0,
2021-04-09,,7542.0,
2021-04-10,,7632.0,
2021-04-11,,7421.0,
2021-04-12,,7423.0,
2021-04-13,,7776.0,
2021-04-14,,8126.0,
2021-04-15,,8262.0,
2021-04-16,,8321.0,
2021-04-17,,8287.0,
2021-04-18,,8114.0,
2021-04-19,,8149.0,
2021-04-20,,8612.0,
2021-04-21,,8996.0,
2021-04-22,,8902.0,
2021-04-23,,8804.0,
2021-04-24,,8686.0,
2021-04-25,,8400.0,
2021-04-26,,8262.0,
2021-04-27,,8587.0,
2021-04-28,,8838.0,
2021-04-29,,8780.0,
2021-04-30,,8823.0,
2021-05-01,,8860.0,
2021-05-02,,8892.0,
2021-05-03,,9017.0,
2021-05-04,,9637.0,
2021-05-05,,10168.0,
2021-05-06,,10416.0,
2021-05-07,,10417.0,
2021-05-08,,10564.0,
2021-05-09,,10488.0,
2021-05-10,,10562.0,
2021-05-11,,11224.0,
2021-05-12,,12003.0,
2021-05-13,,12267.0,
2021-05-14,,12204.0,
2021-05-15,,12063.0,
2021-05-16,,12109.0,
2021-05-17,,12165.0,
2021-05-18,,12675.0,
2021-05-19,,13151.0,
2021-05-20,,13067.0,
2021-05-21,,12773.0,
2021-05-22,,12335.0,
